"region","htitem_id","title","author","date","rights","OCLC"
"midwest","inu.32000011573245","Freckles by Gene Stratton-Porter ","Stratton-Porter Gene 1863-1924","1904-00-00","1","10743748"
"northeast","inu.39000000442405","The four false weapons : being the return of Bencolin / by John Dickson Carr ","Carr John Dickson 1906-1977.","1938-00-00","2","10234630"
"midwest","inu.39000003711020","Some buried Caesar / Rex Stout ","Stout Rex 1886-1975.","1963-00-00","2","1989026"
"newengland","inu.39000005020941","Narratives of the wreck of the whale-ship Essex / Owen Chase et al. ","Chase Owen.","1989-00-00","2","19920351"
"midwest","loc.ark:/13960/t01z50j6q","Little orphan Annie by James Whitcomb Riley; illustrated by Ethel Franklin Betts ","Riley James Whitcomb 1849-1916.","1908-00-00","1","5222739"
"northeast","loc.ark:/13960/t0gt63t4m","Rip Van Winkle as played by Joseph Jefferson ","Jefferson Joseph 1829-1905.","1895-00-00","1",""
"midwest","loc.ark:/13960/t2c82vm53","Crumbling idols; ","Garland Hamlin 1860-1940.","1894-00-00","1",""
"northeast","loc.ark:/13960/t2p56542c","Leaves of grass ","Whitman Walt 1819-1892.","1897-00-00","1",""
"northeast","loc.ark:/13960/t50g48j5d","The headsman: ","Cooper James Fenimore 1789-1851.","1836-00-00","1",""
"midwest","loc.ark:/13960/t7hq4sr3z","The raggedy man by James Whitcomb Riley; with illustrations by Ethel Franklin Betts ","Riley James Whitcomb 1849-1916.","1907-00-00","9","3944463"
"northeast","loc.ark:/13960/t8tb1zp0t","Alice in Blunderland an iridescent dream by John Kendrick Bangs; illustrated by Albert Levering ","Bangs John Kendrick 1862-1922.","1907-00-00","1","3057636"
"newengland","loc.ark:/13960/t9280gf1r","Among the Isles of Shoals. ","Thaxter Celia 1835-1894.","1873-00-00","1",""
"midwest","loc.ark:/13960/t9572012d","The story of Ab; a tale of the time of the cave man by Stanley Waterloo ... ","Waterloo Stanley 1846-1913.","1897-00-00","1","2127260"
"newengland","loc.ark:/13960/t9v12mp30","Walden. ","Thoreau Henry David 1817-1862.","1882-00-00","1",""
"northeast","mdp.39015000147085","Bread givers : a novel : a struggle between a father of the Old World and a daughter of the New / by Anzia Yezierska ; with an introd. by Alice Kessler Harris ","Yezierska Anzia 1880?-1970.","1975-00-00","2","1508158"
"south","mdp.39015000252448","Cane. With a foreword by Waldo Frank ","Toomer Jean 1894-1967.","1923-00-00","1","168697"
"newengland","mdp.39015000532336","Herland / by Charlotte Perkins Gilman ; with an introd. by Ann J. Lane ","Gilman Charlotte Perkins 1860-1935.","1979-00-00","2","4495461"
"south","mdp.39015000544786","Scarlet sister Mary ","Peterkin Julia Mood 1880-1961.","1928-00-00","2","3082966"
"west","mdp.39015000579329","The grapes of wrath [by] John Steinbeck ","Steinbeck John 1902-1968.","1939-00-00","2","289946"
"northeast","mdp.39015000594740","Halfway house; a problem in deduction by Ellery Queen ","Queen Ellery.","1936-00-00","2","1807075"
"northeast","mdp.39015000605298","Anthem. ","Rand Ayn.","1953-00-00","1","288344"
"newengland","mdp.39015000606106","Stella Dallas ... ","Prouty Olive Higgins 1882-1974.","1926-00-00","2","21212440"
"northeast","mdp.39015000621972","Three hundred years hence; with introd. and notes by Nelson F. Adkins ","Griffith Mary d. 1877.","1950-00-00","1","3253783"
"midwest","mdp.39015000635923","Ann Vickers. ","Lewis Sinclair 1885-1951.","1933-00-00","2","3508015"
"midwest","mdp.39015000636103","Arrowsmith. ","Lewis Sinclair 1885-1951.","1945-00-00","2","2079090"
"midwest","mdp.39015000640303","Jason Edwards an average man. ","Garland Hamlin 1860-1940.","1892-00-00","1","1653743"
"northeast","mdp.39015000682883","Tender is the night. ","Fitzgerald F. Scott 1896-1940.","1962-00-00","2","715618"
"south","mdp.39015001506545","The heart is a lonely hunter by Carson McCullers ","McCullers Carson 1917-1967.","1967-00-00","2","11832359"
"newengland","mdp.39015001549396","Thank you Mr. Moto &amp; Mr. Moto is so sorry : from the Saturday evening post / by J. P. Marquand ","Marquand John P. 1893-1960.","1977-00-00","2","3710655"
"midwest","mdp.39015002169707","The sun also rises. ","Hemingway Ernest 1899-1961.","1956-00-00","2","1730172"
"northeast","mdp.39015002311556","The secret garden by Frances Hodgson Burnett ","Burnett Frances Hodgson 1849-1924.","1911-00-00","1","1289609"
"south","mdp.39015002613381","Sons. ","Buck Pearl S. 1892-1973.","1932-00-00","2","568321"
"northeast","mdp.39015002660317","Dynasty of death [by] Taylor Caldwell ","Caldwell Taylor 1900-1985.","1938-00-00","2","1357301"
"northeast","mdp.39015002676552","Butterfield 8. ","O'Hara John 1905-1970.","1951-00-00","2","4885264"
"midwest","mdp.39015002725615","Come and get it. ","Ferber Edna 1887-1968.","1936-00-00","5","7396589"
"newengland","mdp.39015002758004","The last Puritan a memoir in the form of a novel by George Santayana ","Santayana George 1863-1952.","1936-00-00","2","275564"
"west","mdp.39015002777806","To a God unknown. ","Steinbeck John 1902-1968.","1970-00-00","2","1045509"
"midwest","mdp.39015002982505","Dodsworth. ","Lewis Sinclair 1885-1951.","1929-00-00","2","1922598"
"south","mdp.39015003343830","Mosquitoes / by William Faulkner ","Faulkner William 1897-1962.","1937-00-00","2","2536652"
"south","mdp.39015003344622","Flags in the dust / William Faulkner ; edited and with an introd. by Douglas Day ","Faulkner William 1897-1962.","1973-00-00","2","578849"
"south","mdp.39015003344796","Sartoris / [by] William Faulkner ","Faulkner William 1897-1962.","1929-00-00","2","760785"
"south","mdp.39015003345231","Soldiers' pay by William Faulkner ","Faulkner William 1897-1962.","1926-00-00","2","1097838"
"west","mdp.39015003636035","Of mice and men : a play in three acts. ","Steinbeck John 1902-1968.","1937-00-00","2","7166516"
"midwest","mdp.39015003665430","It can't happen here; a novel by Sinclair Lewis ","Lewis Sinclair 1885-1951.","1935-00-00","2","288938"
"newengland","mdp.39015003675520","A mirror for witches in which is reflected the life machinations and death of famous Doll Bilby who with a more than feminine perversity preferred a demon to a mortal lover : here is also told how and why a righteous and most awfull judgment befell her destroying both corporeal body and immortal soul / with woodcuts by Robert Gibbings ","Forbes Esther 1894-","1928-00-00","2","268241"
"northeast","mdp.39015003928853","Ralph 124C 41+; a romance of the year 2660. Forewords by Lee De Forest and Fletcher Pratt ","Gernsback Hugo 1884-1967.","1950-00-00","1","1138865"
"south","mdp.39015003940981","Barren ground by Ellen Glasgow ","Glasgow Ellen Anderson Gholson 1873-1945.","1925-00-00","2","285603"
"northeast","mdp.39015004170620","The Egyptian cross mystery a problem in deduction by Ellery Queen ","Queen Ellery.","1932-00-00","2","7263819"
"midwest","mdp.39015004256239","The grandmothers : a family portrait / by Glenway Wescott. ","Wescott Glenway 1901-1987.","1927-00-00","2","1961365"
"south","mdp.39015004764927","Moses man of the mountain by Zora Neale Hurston ","Hurston Zora Neale.","1939-00-00","2","646738"
"northeast","mdp.39015004780451","As a driven leaf. ","Steinberg Milton 1903-1950.","1939-00-00","2","502303"
"northeast","mdp.39015004930148","The private life of Helen of Troy by John Erskine ","Erskine John 1879-1951.","1925-00-00","2","758445"
"northeast","mdp.39015005095388","The circus of Dr. Lao. With drawings by Boris Artzybasheff ","Finney Charles G. 1905-1984.","1946-00-00","2","6122667"
"northeast","mdp.39015005135184","The red badge of courage by Stephen Crane ","Crane Stephen 1871-1900.","1925-00-00","2","2535490"
"northeast","mdp.39015005322485","The Woggle-Bug book (1905) / by L. Frank Baum ; [pictures by Ike Morgan]. ","Baum L. Frank 1856-1919.","1978-00-00","2","3843722"
"midwest","mdp.39015005331320","The island of the mighty: the fourth branch of the Mabinogion. Introd. by Lin Carter ","Walton Evangeline.","1970-00-00","2","813020"
"midwest","mdp.39015005473304","The adventures of Tom Sawyer by Mark Twain ","Twain Mark 1835-1910.","1876-00-00","1","4553926"
"northeast","mdp.39015005603967","Earth revisited by Byron A. Brooks ","Brooks Byron Alden b. 1845.","1893-00-00","1","6414549"
"south","mdp.39015005616571","Company K by William March [pseud.] ","March William 1893-1954.","1933-00-00","2","3622557"
"south","mdp.39015005636694","You can't go home again. ","Wolfe Thomas 1900-1938.","1940-00-00","2","964311"
"northeast","mdp.39015005711273","The lost prince by Frances Hodgson Burnett with illustrations by Maurice L. Bower ","Burnett Frances Hodgson 1849-1924.","1915-00-00","1","16533034"
"midwest","mdp.39015005725398","The house on the roof [by] Mignon G. Eberhart ","Eberhart Mignon Good 1899-1996.","1935-00-00","2","1802863"
"midwest","mdp.39015006572849","The Whole family : a novel / by twelve authors: William Dean Howells ... [et al.]. ","James Henry 1843-1916. Howells William Dean 1837-1920.","1908-00-00","1","2980384"
"midwest","mdp.39015007021325","Judgement day by James T. Farrell ","Farrell James T. 1904-1979.","1935-00-00","2","168265"
"midwest","mdp.39015007060521","The disinherited / Jack Conroy ","Conroy Jack 1898-1990.","1933-00-00","5","20228910"
"midwest","mdp.39015008171327","The trail of the hawk; a comedy of the seriousness of life by Sinclair Lewis ","Lewis Sinclair 1885-1951.","1915-00-00","9","1422001"
"south","mdp.39015008260450","Creole families of New Orleans ","King Grace Elizabeth 1852-1932.","1921-00-00","1","713223"
"midwest","mdp.39015008361134","Elmer Gantry by Sinclair Lewis ","Lewis Sinclair 1885-1951.","1927-00-00","2","5299796"
"newengland","mdp.39015008499926","Democracy : an American novel. ","Adams Henry 1838-1918.","1883-00-00","1","17968991"
"northeast","mdp.39015008600341","Christ in concrete : a novel. ","Di Donato Pietro 1911-1992.","1939-00-00","2","3894884"
"west","mdp.39015008740634","Slan / by A. E. van Vogt ","Van Vogt A. E. 1912-2000.","1951-00-00","2","3233696"
"northeast","mdp.39015008784962","A new Alice in the old Wonderland / with sixty-seven illustrations by Anna M. Richards Jr. ","Richards Anna M.","1895-00-00","1","4872313531268"
"west","mdp.39015008873575","Torchlight to Valhalla / by Gale Wilhelm ","Wilhelm Gale 1908-","1938-00-00","2","1515910"
"west","mdp.39015008899653","But gentlemen marry brunettes. by Anita Loo intimately illustrated by Ralph Barton ","Loos Anita 1893-1981.","1928-00-00","2","288643"
"northeast","mdp.39015009219281","Nick of the woods; or The Jibbenainosay; a tale of Kentucky. By Robert Montgomery Bird ","Bird Robert Montgomery 1806-1854.","1853-00-00","1","5046579"
"northeast","mdp.39015009232706","The John Riddell murder case a Philo Vance parody ... by John Riddell [pseud.] Illustrated by Miguel Covarrubias ","Ford Corey 1902-1969.","1930-00-00","2","1825068"
"south","mdp.39015010346396","Native son (the biography of a young American) ","Wright Richard 1908-1960.","1941-00-00","2","1320856"
"midwest","mdp.39015010410630","To have and have not. ","Hemingway Ernest 1899-1961.","1937-00-00","2","7891459"
"newengland","mdp.39015011014738","The enormous room / by E.E. Cummings ","Cummings E. E. 1894-1962.","1927-00-00","1","24494820"
"midwest","mdp.39015011683219","Personal recollections of Joan of Arc / by the Sieur Louis de Conte (her page and secretary) freely translated out of the ancient French into modern English from the original unpublished manuscript in the national archives of France by Jean Francois Alden [pseud.] Illustrated from drawings by F. V. Du Mond ","Twain Mark 1835-1910.","1899-00-00","9","5762422"
"northeast","mdp.39015012092089","Lassie Come-Home. ","Knight Eric 1897-1943.","1959-00-00","2","306130"
"midwest","mdp.39015012122308","The financier. ","Dreiser Theodore 1871-1945.","1912-00-00","1","2976677"
"northeast","mdp.39015012192277","The cat who went to heaven. ","Coatsworth Elizabeth 1893-1986.","1930-00-00","2","2159254"
"northeast","mdp.39015012328574","A little princess; being the whole story of Sara Crewe now told for the first time by Frances Hodgson Burnett; with illustrations in colors by Ethel Franklin Betts ","Burnett Frances Hodgson 1849-1924.","1905-00-00","1","3583161"
"northeast","mdp.39015012351097","Dear enemy by Jean Webster illustrated by the author ","Webster Jean i.e. Alice Jean 1876-","1915-00-00","1","491292"
"northeast","mdp.39015012372374","The awakening of Helena Richie ... ","Deland Margaret Wade Campbell 1857-1945.","1906-00-00","1","607149"
"west","mdp.39015012982347","The banditti of the plains; or The cattlemen's invasion of Wyoming in 1892--""the crowning infamy of the ages."" New foreword by James Mitchell Clarke and illus. by Arvilla Parker ","Mercer A. S. 1839-1917.","1935-00-00","1","62360569"
"midwest","mdp.39015013017218","The able McLaughlins. ","Wilson Margaret 1882-","1923-00-00","1","318376"
"midwest","mdp.39015013251726","The white cockatoo ... ","Eberhart Mignon Good 1899-1996.","1933-00-00","2","4092613"
"south","mdp.39015013395200","Figures of earth; a comedy of appearances / by James Branch Cabell ","Cabell James Branch 1879-1958.","1921-00-00","1","8595168"
"west","mdp.39015013399715","Honey in the horn by H. L. Davis ","Davis H. L. 1896-1960.","1935-00-00","2","846013"
"midwest","mdp.39015013412609","Herbs and apples / Helen Hooven Santmyer ","Santmyer Helen Hooven 1895-1986.","1985-00-00","2","11972706"
"northeast","mdp.39015013453835","Freddy goes to Florida. Illus. by Kurt Wiese ","Brooks Walter R. 1886-1958.","1949-00-00","2","305754"
"midwest","mdp.39015014204781","An imperative duty : a novel / by W.D. Howells ... ","Howells William Dean 1837-1920.","1891-00-00","1","647526"
"northeast","mdp.39015014505732","Boy with a pack ","Meader Stephen W. 1892-1977.","1939-00-00","2","301378"
"northeast","mdp.39015014760154","Ryder by Djuna Barnes with illustrations by the author ","Barnes Djuna.","1928-00-00","2","189139"
"northeast","mdp.39015014823259","Nightwood. ","Barnes Djuna.","1949-00-00","5","5208749"
"northeast","mdp.39015016414883","Typee; or A narrative of a four month's residence among the natives of a valley of the Marquesas Islands; or A peep at Polynesian life by Herman Melville ","Melville Herman 1819-1891.","1847-00-00","1","62605159"
"midwest","mdp.39015016768288","Bayou folk by Kate Chopin ","Chopin Kate 1850-1904.","1894-00-00","1","7311970"
"midwest","mdp.39015016794524","Bertram Cope's year a novel by Henry B. Fuller ","Fuller Henry Blake 1857-1929.","1919-00-00","1","612704"
"west","mdp.39015017673990","Michael brother of Jerry. ","London Jack 1876-1916.","1917-00-00","9","587955"
"northeast","mdp.39015018015118","The Roman hat mystery a problem in deduction by Ellery Queen ","Queen Ellery.","1931-00-00","5","47689340"
"south","mdp.39015018334048","Uncle Remus his songs and his sayings; : the folk-lore of the old plantation / by Joel Chandler Harris; with illustrations by Frederick S. Church and James H. Moser ","Harris Joel Chandler 1848-1908.","1880-00-00","1","26867591"
"west","mdp.39015018393382","The Hammersmith murders ... ","Ford Leslie 1898-1983.","1930-00-00","2","8193758"
"northeast","mdp.39015019188047","Imre : a memorandum / edited by Xavier Mayne (pseudonym of Edward Irenaeus Prime Stevenson). ","Prime-Stevenson Edward 1858-1942.","1975-00-00","9","1527477"
"northeast","mdp.39015020107242","In His steps; ""What would Jesus do?"" by Charles M. Sheldon ... ","Sheldon Charles Monroe 1857-1946.","1898-00-00","1","9024306"
"newengland","mdp.39015020215755","The tinkling symbol : an Asey Mayo mystery of Cape Cod. ","Taylor Phoebe Atwood 1909-1976.","1935-00-00","2","1592203"
"midwest","mdp.39015020720481","For whom the bell tolls. ","Hemingway Ernest 1899-1961.","1940-00-00","2","285606"
"south","mdp.39015020921808","Night rider / Robert Penn Warren ","Warren Robert Penn 1905-1989.","1939-00-00","2","507052"
"newengland","mdp.39015021038586","Rome haul / by Walter D. Edmonds ","Edmonds Walter Dumaux 1903-1998.","1929-00-00","2","764437"
"northeast","mdp.39015024078704","The trees / by Conrad Richter ","Richter Conrad 1890-1968.","1940-00-00","2","65467170"
"west","mdp.39015024079637","The basket woman a book of fanciful tales for children by Mary Austin ","Austin Mary Hunter 1868-1934.","1904-00-00","1","2555698"
"west","mdp.39015024084868","Young Mac of Fort Vancouver ","Carr Mary Jane.","1940-00-00","2","16730529"
"west","mdp.39015024085931","Blue willow by Doris Gates; illustrated by Paul Lantz ","Gates Doris 1901-1987.","1940-00-00","2","186546"
"newengland","mdp.39015024090915","Bright Island [by] Mabel L. Robinson; with decorations by Lynd Ward ","Robinson Mabel Louise.","1937-00-00","2","1297574"
"northeast","mdp.39015024090949","Roller skates ","Sawyer Ruth 1880-1970.","1936-00-00","2","302204"
"northeast","mdp.39015024817374","Black empire / George S. Schuyler ; foreword by John A. Williams ; edited with an afterword by Robert A. Hill &amp; R. Kent Rasmussen ","Schuyler George S. 1895-1977.","1991-00-00","2","23973132"
"northeast","mdp.39015026297633","The Dutch shoe mystery a problem in deduction by Ellery Queen ","Queen Ellery.","1931-00-00","2","1935688"
"northeast","mdp.39015026489354","The Greek coffin mystery a problem in deduction by Ellery Queen ","Queen Ellery.","1932-00-00","2","1980671"
"northeast","mdp.39015026649502","The door between; a problem in deduction. ","Queen Ellery.","1937-00-00","2","2630836"
"northeast","mdp.39015026773211","The French powder mystery a problem in deduction by Ellery Queen ","Queen Ellery.","1930-00-00","2","7761808"
"midwest","mdp.39015027228058","Downright Dencey ","Snedeker Caroline Dale 1871-1956.","1927-00-00","2","1059493"
"newengland","mdp.39015027550808","The adventures of Paddy the beaver ","Burgess Thornton W. 1874-1965.","1917-00-00","1","10846053"
"northeast","mdp.39015027968737","The Spanish cape mystery a problem in deduction by Ellery Queen ","Queen Ellery.","1935-00-00","2","9052958"
"northeast","mdp.39015027968745","The American gun mystery &lt;death at the rodeo&gt; a problem in deduction by Ellery Queen ","Queen Ellery.","1933-00-00","2","1809022"
"south","mdp.39015028442773","The lost boy : a novella / by Thomas Wolfe ; edited and with an introduction by James W. Clark Jr. ; illustrations by Ed Lindlof ","Wolfe Thomas 1900-1938.","1992-00-00","2","25964453"
"northeast","mdp.39015028703158","Policemen Bluejay (1907) : a facsimile reproduction of the first edition / by L. Frank Baum ","Baum L. Frank 1856-1919.","1981-00-00","2","7576161"
"south","mdp.39015028988973","The web and the rock. ","Wolfe Thomas 1900-1938.","1939-00-00","2","7636150"
"northeast","mdp.39015030542347","Marked ""personal"" by Anna Katharine Green ","Green Anna Katharine 1846-1935.","1893-00-00","1","7449134"
"midwest","mdp.39015030711025","Lavender and old lace / by Myrtle Reed ","Reed Myrtle 1874-1911.","1902-00-00","1","2052561"
"northeast","mdp.39015030719150","The touchstone. ","Wharton Edith 1862-1937","1900-00-00","1","297310"
"south","mdp.39015030736238","Madame Delphine by george W. Cable ","Cable George Washington 1844-1925.","1881-00-00","1","272685"
"south","mdp.39015030846367","John Henry by Roark Bradford; woodcuts by J.J. Lankes ","Bradford Roark 1896-1948.","1931-00-00","2","36371744"
"west","mdp.39015030848926","Young man with a horn by Dorothy Baker ","Baker Dorothy 1907-1968.","1938-00-00","2","1072104"
"south","mdp.39015030850898","The invisible host by Gwen Bristow and Bruce Manning ","Bristow Gwen 1903-","1930-00-00","2","1545831"
"south","mdp.39015030915485","The frontiersmen by Charles Egbert Craddock [pseud.] ","Murfree Mary Noailles 1850-1922.","1904-00-00","1","2686154"
"midwest","mdp.39015031232666","An American tragedy by Theodore Dreiser ... ","Dreiser Theodore 1871-1945.","1926-00-00","2","1971100"
"northeast","mdp.39015031308623","The rolling years. ","Turnbull Agnes Sligh 1888-","1936-00-00","2","17316163"
"newengland","mdp.39015031941597","Hitty her first hundred years / by Rachel Field with illustrations by Dorothy P. Lathrop ","Field Rachel 1894-1942.","1929-00-00","2","304816"
"northeast","mdp.39015034265077","Little Lord Fauntleroy by Frances Hodgson Burnett ","Burnett Frances Hodgson 1849-1924.","1887-00-00","1","38764285"
"west","mdp.39015035309460","Paris France by Gertrude Stein ","Stein Gertrude 1874-1946.","1940-00-00","1","5225316"
"northeast","mdp.39015035315129","The age of innocence by Edith Wharton ... ","Wharton Edith 1862-1937","1920-00-00","1","891210"
"south","mdp.39015035366403","The mother by Pearl S. Buck ","Buck Pearl S. 1892-1973.","1934-00-00","1","981768"
"northeast","mdp.39015035505349","Ozma of Oz ... by L. Frank Baum ... illustrated by John R. Neill ","Baum L. Frank 1856-1919.","1907-00-00","1","9229842"
"midwest","mdp.39015036903139","Pecos Bill the greatest cowboy of all time by James Cloyd Bowman ... pictures by Laura Bannon ","Bowman James Cloyd 1880-1961.","1937-00-00","2","1597368"
"northeast","mdp.39015037036301","Hag's nook John Dickson Carr ","Carr John Dickson 1906-1977.","1933-00-00","2","12849852"
"south","mdp.39015037492579","Lost laysen / Margaret Mitchell ; edited by Debra Freer ","Mitchell Margaret 1900-1949.","1996-00-00","2","34192604"
"midwest","mdp.39015038423995","Who would have thought it? / MarÌ_a Amparo Ruiz de Burton ; edited and introduced by Rosaura SÌÁnchez and Beatrice Pita ","Ruiz de Burton MarÌ_a Amparo 1832-1895.","1995-00-00","2","32167463"
"midwest","mdp.39015040106323","The torrents of spring; a romantic novel in honor of the passing of a great race. ","Hemingway Ernest 1899-1961.","1972-00-00","2","481824"
"south","mdp.39015040129580","Absalom absalom! / [By] William Faulkner ","Faulkner William 1897-1962.","1936-00-00","2","3393451"
"northeast","mdp.39015041861686","It walks by night by John Dickson Carr. ","Carr John Dickson 1906-1977.","1930-00-00","5","1476299"
"northeast","mdp.39015043127219","Broken wings : a novel / by Kahlil Gibran ; translated by Juan R.I. Cole ","Gibran Kahlil 1883-1931.","1998-00-00","2","39013675"
"south","mdp.39015046349141","The sound and the fury / [by] William Faulkner ; with an introduction by Richard Hughes ","Faulkner William 1897-1962.","1931-00-00","5","1904850"
"south","mdp.39015046366533","Porgy [by] Du Bose Heyward; decorated by Theodore Nadejen ","Heyward DuBose 1885-1940.","1925-00-00","2","4630015"
"northeast","mdp.39015046415595","Ladies almanack: showing their signs and their tides; their moons and their changes; the seasons as it is with them; their eclipses and equinoxes; as well as a full record of diurnal and nocturnal distempers. Written &amp; illustrated by a lady of fashion ","Barnes Djuna.","1972-00-00","2","1164709"
"midwest","mdp.39015046851203","Imitation of life a novel by Fannie Hurst ","Hurst Fannie 1889-1968.","1933-00-00","2","285584"
"south","mdp.39015047540441","Jonah's gourd vine [by] Zora Neale Hurston; with an introd. by Fanny Hurst ","Hurston Zora Neale.","1934-00-00","2","2535268"
"south","mdp.39015047734325","Light in August / by William Faulkner ; introduction by Richard Rovere ","Faulkner William 1897-1962.","1950-00-00","2","282980"
"newengland","mdp.39015050298416","The complete poems of Emily Dickinson with an introduction by her niece Martha Dickinson Bianchi ","Dickinson Emily 1830-1886.","1927-00-00","5","2697929"
"west","mdp.39015050556060","The lariat a novel. ","Angulo Jaime de.","1974-00-00","2","1216400"
"newengland","mdp.39015050923120","Figure away : an Asey Mayo mystery / by Phoebe Atwood Taylor ","Taylor Phoebe Atwood 1909-1976.","1937-00-00","2","1387806"
"midwest","mdp.39015050991135","The Mississippi bubble by Emerson Hough ","Hough Emerson 1857-1923.","1902-00-00","1","6953674"
"west","mdp.39015053140656","The game / by Jack London ; with illustrations and decorations by Henry Hutt and T. C. Lawrence ","London Jack 1876-1916.","1905-00-00","1","4731772"
"midwest","mdp.39015054090355","Main street. ","Lewis Sinclair 1885-1951.","1920-00-00","1","1922605"
"midwest","mdp.39015057048020","The dark garden ... ","Eberhart Mignon Good 1899-1996.","1933-00-00","2","1802826"
"midwest","mdp.39015057659172","For us the living : a comedy of customs / by Robert A. Heinlein ; with an introduction by Spider Robinson ; and an afterword by Robert James ","Heinlein Robert A. 1907-1988.","2004-00-00","2","53145408"
"northeast","mdp.39015057942701","Moment in Peking; a novel of contemporary Chinese life. ","Lin Yutang 1895-1976.","1939-00-00","2","365709"
"midwest","mdp.39015059371784","Rhymes of childhood by James Whitcomb Riley ","Riley James Whitcomb 1849-1916.","1892-00-00","1","33020545"
"northeast","mdp.39015059719248","Linda Condon by Joseph Hergesheimer ","Hergesheimer Joseph 1880-1954.","1919-00-00","1","242478"
"newengland","mdp.39015059788557","The Cape Cod mystery ","Taylor Phoebe Atwood 1909-1976.","1931-00-00","1","1517839"
"newengland","mdp.39015059788565","Out of order ","Taylor Phoebe Atwood 1909-1976.","1936-00-00","2","1391214"
"northeast","mdp.39015061776475","Daddy-Long-Legs / Jean Webster illustrations by the author ","Webster Jean 1876-1916.","1995-00-00","2","33031114"
"newengland","mdp.39015061868819","Tales / H.P. Lovecraft ","Lovecraft H. P. 1890-1937.","2005-00-00","2","56068806"
"northeast","mdp.39015063545365","The pioneers; or The sources of the Susquehanna. A descriptive tale. By J. Fenimore Cooper ","Cooper James Fenimore 1789-1851.","1880-00-00","1","21281001"
"south","mdp.39015063549201","The Red Napoleon by Floyd Gibbons ","Gibbons Floyd Phillips 1887-1939.","1929-00-00","2","2582311"
"midwest","mdp.39015063553344","The ship of souls by Emerson Hough ","Hough Emerson 1857-1923.","1925-00-00","2","6612499"
"south","mdp.39015063740164","The choir invisible by James Lane Allen ... ","Allen James Lane 1849-1925.","1897-00-00","9","544175"
"midwest","mdp.39015063759784","Alice Adams. ","Tarkington Booth 1869-1946.","1921-00-00","1","2096412"
"south","mdp.39015063813318","The store [by] T.S. Stribling ","Stribling T. S. 1881-1965.","1932-00-00","2","171147"
"midwest","mdp.39015063919479","While the patient slept ... ","Eberhart Mignon Good 1899-1996.","1931-00-00","2","6529088"
"northeast","mdp.39015063927910","The helmet of Navarre; illustrations by AndrÌ© Castaigne ","Runkle Bertha.","1901-00-00","1","3661560"
"northeast","mdp.39015063936358","The dragon's teeth a problem in deduction by Ellery Queen ","Queen Ellery.","1945-00-00","2","3974203"
"northeast","mdp.39015063944303","Hira Singh by Talbot Mundy. Frontispiece by Joseph Clement Coll ","Mundy Talbot 1879-1940.","1918-00-00","1","2705139"
"midwest","mdp.39015063945276","The windy hill by Cornelia Meigs ","Meigs Cornelia 1884-1973.","1921-00-00","1","8743401"
"midwest","mdp.39015063945425","Clearing weather by Cornelia Meigs with illustrations by Frank Dobias ","Meigs Cornelia 1884-1973.","1928-00-00","1","9434397"
"northeast","mdp.39015063947629","The Dutchman's fireside. A tale. By the author of ""Letters from the South."" ","Paulding James Kirke 1778-1860.","1837-00-00","1","7295120"
"midwest","mdp.39015063948627","Old rose and silver by Myrtle Reed ","Reed Myrtle 1874-1911.","1909-00-00","1","7472339"
"newengland","mdp.39015065528930","Jo's boys : and how they turned out. A sequel to ""Little men"" / By Louisa M. Alcott ... ","Alcott Louisa May 1832-1888.","1886-00-00","1","302965"
"midwest","mdp.39015065779426","Monsieur Beaucaire by Booth Tarkington; illustrated by C. D. Williams ","Tarkington Booth 1869-1946.","1900-00-00","1","175004"
"west","mdp.39015065929328","The time stream / by John Taine [i.e. E. T. Bell]. ","Bell Eric Temple 1883-1960.","1975-00-00","2","1601969"
"west","mdp.39015065985627","Burning Daylight / by Jack London ","London Jack 1876-1916.","1910-00-00","1","288552"
"midwest","mdp.39015066034508","The sport of the gods by Paul Laurence Dunbar ... ","Dunbar Paul Laurence 1872-1906.","1902-00-00","1","728951"
"northeast","mdp.39015066051023","Plum bun a novel without a moral by Jessie Redmon Fauset ","Fauset Jessie Redmon","1929-00-00","2","1048057"
"midwest","mdp.39015066053193","Many marriages. ","Anderson Sherwood 1876-1941.","1923-00-00","1","1135265"
"northeast","mdp.39015066056790","Mardi and a voyage thither by Herman Melville ... ","Melville Herman 1819-1891.","1923-00-00","1","1197996"
"west","mdp.39015066058895","The little lady of the big house / by Jack London ... ","London Jack 1876-1916.","1916-00-00","1","2545227"
"midwest","mdp.39015066065213","Ben Hur: a tale of the Christ by Lew. Wallace ... ","Wallace Lew 1827-1905.","1880-00-00","1","2555523"
"midwest","mdp.39015066088660","Little house in the big woods / illustrated by Helen Sewell ","Wilder Laura Ingalls 1867-1957.","1932-00-00","2","2365122"
"west","mdp.39015066688105","After 12000 years / Stanton A. Coblentz ","Coblentz Stanton Arthur 1896-1982.","1975-00-00","2","1273343"
"west","mdp.39015066705032","Hidden world / Stanton A. Coblentz ","Coblentz Stanton Arthur 1896-1982.","1975-00-00","2","1339565"
"west","mdp.39015081918222","Nino / written and illustrated by Valenti Angelo ","Angelo Valenti 1897-1982.","1938-00-00","2","49673563"
"northeast","mdp.39015082528186","Queen Zixi of Ix or The story of the magic cloak / by L. Frank Baum ; with illustrations by Frederick Richardson ","Baum L. Frank 1856-1919.","1905-00-00","1","1336819"
